England,Jamie Carragher,82' yellow card,http://thesoccerworldcups.com/games/2006_england_ecuador.php
,,,http://thesoccerworldcups.com/games/1986_argentina_west_germany.php
,,,http://thesoccerworldcups.com/games/1986_argentina_west_germany.php
Argentina,Diego Maradona,17' yellow card,http://thesoccerworldcups.com/games/1986_argentina_west_germany.php
West Germany,Lothar Matthaeus,21' yellow card,http://thesoccerworldcups.com/games/1986_argentina_west_germany.php
West Germany,Hans-Peter Briegel,62' yellow card,http://thesoccerworldcups.com/games/1986_argentina_west_germany.php
Argentina,Julio Olarticoechea,77' yellow card,http://thesoccerworldcups.com/games/1986_argentina_west_germany.php
Argentina,Hector Enrique,81' yellow card,http://thesoccerworldcups.com/games/1986_argentina_west_germany.php
Argentina,Nery Pumpido,85' yellow card,http://thesoccerworldcups.com/games/1986_argentina_west_germany.php
,,,http://thesoccerworldcups.com/games/2006_germany_poland.php
,,,http://thesoccerworldcups.com/games/2006_germany_poland.php
Poland,Jacek Krzynowek,3' yellow card,http://thesoccerworldcups.com/games/2006_germany_poland.php
Poland,Radoslaw Sobolewski,28' yellow card,http://thesoccerworldcups.com/games/2006_germany_poland.php
Germany,Michael Ballack,58' yellow card,http://thesoccerworldcups.com/games/2006_germany_poland.php
Germany,David Odonkor,68' yellow card,http://thesoccerworldcups.com/games/2006_germany_poland.php
Germany,Christoph Metzelder,70' yellow card,http://thesoccerworldcups.com/games/2006_germany_poland.php
Poland,Radoslaw Sobolewski,75' ejection - red card for second yellow,http://thesoccerworldcups.com/games/2006_germany_poland.php
Poland,Artur Boruc,89' yellow card,http://thesoccerworldcups.com/games/2006_germany_poland.php
,,,http://thesoccerworldcups.com/games/2010_mexico_uruguay.php
,,,http://thesoccerworldcups.com/games/2010_mexico_uruguay.php
Uruguay,Jorge Fucile,68' yellow card,http://thesoccerworldcups.com/games/2010_mexico_uruguay.php
Mexico,Javier Hernandez,77' yellow card,http://thesoccerworldcups.com/games/2010_mexico_uruguay.php
Mexico,Israel Castro,86' yellow card,http://thesoccerworldcups.com/games/2010_mexico_uruguay.php
,,,http://thesoccerworldcups.com/games/1986_bulgaria_italy.php
,,,http://thesoccerworldcups.com/games/1986_bulgaria_italy.php
Italy,Giuseppe Bergomi,48' yellow card,http://thesoccerworldcups.com/games/1986_bulgaria_italy.php
Bulgaria,Aleksandar Markov,51' yellow card,http://thesoccerworldcups.com/games/1986_bulgaria_italy.php
Italy,Antonio Cabrini,64' yellow card,http://thesoccerworldcups.com/games/1986_bulgaria_italy.php
,,,http://thesoccerworldcups.com/games/1998_brazil_denmark.php
,,,http://thesoccerworldcups.com/games/1998_brazil_denmark.php
Brazil,Roberto Carlos,11' yellow card,http://thesoccerworldcups.com/games/1998_brazil_denmark.php
Denmark,Thomas Helveg,19' yellow card,http://thesoccerworldcups.com/games/1998_brazil_denmark.php
Brazil,Aldair,37' yellow card,http://thesoccerworldcups.com/games/1998_brazil_denmark.php
Denmark,Soren Colding,39' yellow card,http://thesoccerworldcups.com/games/1998_brazil_denmark.php
Denmark,Stig Tofting,72' yellow card,http://thesoccerworldcups.com/games/1998_brazil_denmark.php
Brazil,Cafu,81' yellow card,http://thesoccerworldcups.com/games/1998_brazil_denmark.php
,,,http://thesoccerworldcups.com/games/1990_ireland_romania.php
,,,http://thesoccerworldcups.com/games/1990_ireland_romania.php
Ireland,John Aldridge,21' yellow card,http://thesoccerworldcups.com/games/1990_ireland_romania.php
Ireland,Paul Mcgrath,107' yellow card,http://thesoccerworldcups.com/games/1990_ireland_romania.php
Romania,Gheorghe Hagi,112' yellow card,http://thesoccerworldcups.com/games/1990_ireland_romania.php
Romania,Danut Lupu,116' yellow card,http://thesoccerworldcups.com/games/1990_ireland_romania.php
,,,http://thesoccerworldcups.com/games/2010_ghana_germany.php
,,,http://thesoccerworldcups.com/games/2010_ghana_germany.php
Ghana,Andre Ayew,40' yellow card,http://thesoccerworldcups.com/games/2010_ghana_germany.php
Germany,Thomas Mueller,43' yellow card,http://thesoccerworldcups.com/games/2010_ghana_germany.php
,,,http://thesoccerworldcups.com/games/1990_west_germany_colombia.php
,,,http://thesoccerworldcups.com/games/1990_west_germany_colombia.php
Colombia,Luis Herrera,15' yellow card,http://thesoccerworldcups.com/games/1990_west_germany_colombia.php
Colombia,Gabriel Gomez,30' yellow card,http://thesoccerworldcups.com/games/1990_west_germany_colombia.php
Colombia,Leonel Alvarez,38' yellow card,http://thesoccerworldcups.com/games/1990_west_germany_colombia.php
West Germany,Thomas Berthold,63' yellow card,http://thesoccerworldcups.com/games/1990_west_germany_colombia.php
,,,http://thesoccerworldcups.com/games/1994_brazil_italy.php
,,,http://thesoccerworldcups.com/games/1994_brazil_italy.php
Brazil,Mazinho,4' yellow card,http://thesoccerworldcups.com/games/1994_brazil_italy.php
Italy,Luigi Apolloni,41' yellow card,http://thesoccerworldcups.com/games/1994_brazil_italy.php
Italy,Demetrio Albertini,42' yellow card,http://thesoccerworldcups.com/games/1994_brazil_italy.php
Brazil,Cafu,87' yellow card,http://thesoccerworldcups.com/games/1994_brazil_italy.php
,,,http://thesoccerworldcups.com/games/2010_germany_serbia.php
,,,http://thesoccerworldcups.com/games/2010_germany_serbia.php
Germany,Miroslav Klose,12' yellow card,http://thesoccerworldcups.com/games/2010_germany_serbia.php
Serbia,Branislav Ivanovic,18' yellow card,http://thesoccerworldcups.com/games/2010_germany_serbia.php
Serbia,Aleksandar Kolarov,19' yellow card,http://thesoccerworldcups.com/games/2010_germany_serbia.php
Germany,Sami Khedira,22' yellow card,http://thesoccerworldcups.com/games/2010_germany_serbia.php
Germany,Philipp Lahm,32' yellow card,http://thesoccerworldcups.com/games/2010_germany_serbia.php
