Game||||||
1.|Argentina|Cameroon|0 - 1|../games/1990_argentina_cameroon.php|1st Round, Group B|1990_group_b.php
2.|Soviet Union|Romania|0 - 2|../games/1990_soviet_union_romania.php|1st Round, Group B|1990_group_b.php
3.|Italy|Austria|1 - 0|../games/1990_italy_austria.php|1st Round, Group A|1990_group_a.php
4.|United Arab Emirates|Colombia|0 - 2|../games/1990_united_arab_emirates_colombia.php|1st Round, Group D|1990_group_d.php
5.|USA|Czechoslovakia|1 - 5|../games/1990_usa_czechoslovakia.php|1st Round, Group A|1990_group_a.php
6.|Brazil|Sweden|2 - 1|../games/1990_brazil_sweden.php|1st Round, Group C|1990_group_c.php
7.|West Germany|Yugoslavia|4 - 1|../games/1990_west_germany_yugoslavia.php|1st Round, Group D|1990_group_d.php
8.|Costa Rica|Scotland|1 - 0|../games/1990_costa_rica_scotland.php|1st Round, Group C|1990_group_c.php
9.|England|Ireland|1 - 1|../games/1990_england_ireland.php|1st Round, Group F|1990_group_f.php
10.|Belgium|South Korea|2 - 0|../games/1990_belgium_south_korea.php|1st Round, Group E|1990_group_e.php
11.|Holland|Egypt|1 - 1|../games/1990_holland_egypt.php|1st Round, Group F|1990_group_f.php
12.|Uruguay|Spain|0 - 0|../games/1990_uruguay_spain.php|1st Round, Group E|1990_group_e.php
13.|Argentina|Soviet Union|2 - 0|../games/1990_argentina_soviet_union.php|1st Round, Group B|1990_group_b.php
14.|Yugoslavia|Colombia|1 - 0|../games/1990_yugoslavia_colombia.php|1st Round, Group D|1990_group_d.php
15.|Italy|USA|1 - 0|../games/1990_italy_usa.php|1st Round, Group A|1990_group_a.php
16.|Cameroon|Romania|2 - 1|../games/1990_cameroon_romania.php|1st Round, Group B|1990_group_b.php
17.|Austria|Czechoslovakia|0 - 1|../games/1990_austria_czechoslovakia.php|1st Round, Group A|1990_group_a.php
18.|West Germany|United Arab Emirates|5 - 1|../games/1990_west_germany_united_arab_emirates.php|1st Round, Group D|1990_group_d.php
