Yugoslavia,Brazil,2,1,|Aleksandar Tirnanic   21' |Ivica Bek   30' | ,62'   Preguinho,http://thesoccerworldcups.com/games/1930_yugoslavia_brazil.php
England,Bulgaria,0,0,,,http://thesoccerworldcups.com/games/1962_england_bulgaria.php
Ireland,Romania,0,0,| Kevin Sheedy 
						,,http://thesoccerworldcups.com/games/1990_ireland_romania.php
,,,,,,http://thesoccerworldcups.com/games/1958_hungary_wales.php
Ghana,Germany,0,1,| ,60'  Mesut Ozil,http://thesoccerworldcups.com/games/2010_ghana_germany.php
West Germany,Colombia,1,1,|Pierre Littbarski   88' | ,90'  Freddy Rincon,http://thesoccerworldcups.com/games/1990_west_germany_colombia.php
Argentina,Bulgaria,1,0,|Hector Facundo   4' ,,http://thesoccerworldcups.com/games/1962_argentina_bulgaria.php
Chile,Italy,2,0,|Jaime Ramirez   73' |Jorge Toro   87' ,,http://thesoccerworldcups.com/games/1962_chile_italy.php
Spain,Mexico,1,0,|Joaquin Peiro   90' ,,http://thesoccerworldcups.com/games/1962_spain_mexico.php
,,,,,,http://thesoccerworldcups.com/games/1966_hungary_bulgaria.php
Brazil,Italy,0,0,|(atajado)  Marcio Santos 
						,,http://thesoccerworldcups.com/games/1994_brazil_italy.php
,,,,,,http://thesoccerworldcups.com/games/1966_soviet_union_hungary.php
Germany,Serbia,0,1,| ,38'  Milan Jovanovic,http://thesoccerworldcups.com/games/2010_germany_serbia.php
Austria,Czechoslovakia,5,0,|Ernst Stojaspal   3' |Erich Probst   4' |Erich Probst   21' |Erich Probst   24' |Ernst Stojaspal   65' ,,http://thesoccerworldcups.com/games/1954_austria_czechoslovakia.php
West Germany,Uruguay,4,0,|Helmut Haller   11' |Franz Beckenbauer   70' |Uwe Seeler   75' |Helmut Haller   83' ,,http://thesoccerworldcups.com/games/1966_west_germany_uruguay.php
,,,,,,http://thesoccerworldcups.com/games/1998_romania_croatia.php
