3.|Spain|4|3|1|1|1|8|4|4|No|http://thesoccerworldcups.com/world_cups/1998_group_d.php
4.|Bulgaria|1|3|0|1|2|1|7|-6|No|http://thesoccerworldcups.com/world_cups/1998_group_d.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1990_group_d.php
1.|West Germany|5|3|2|1|0|10|3|7|Yes|http://thesoccerworldcups.com/world_cups/1990_group_d.php
2.|Yugoslavia|4|3|2|0|1|6|5|1|Yes|http://thesoccerworldcups.com/world_cups/1990_group_d.php
3.|Colombia|3|3|1|1|1|3|2|1|Yes|http://thesoccerworldcups.com/world_cups/1990_group_d.php
4.|United Arab Emirates|0|3|0|0|3|2|11|-9|No|http://thesoccerworldcups.com/world_cups/1990_group_d.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/2010_group_e.php
1.|Holland|9|3|3|0|0|5|1|4|Yes|http://thesoccerworldcups.com/world_cups/2010_group_e.php
2.|Japan|6|3|2|0|1|4|2|2|Yes|http://thesoccerworldcups.com/world_cups/2010_group_e.php
3.|Denmark|3|3|1|0|2|3|6|-3|No|http://thesoccerworldcups.com/world_cups/2010_group_e.php
4.|Cameroon|0|3|0|0|3|2|5|-3|No|http://thesoccerworldcups.com/world_cups/2010_group_e.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1982_group_b.php
1.|West Germany|4|3|2|0|1|6|3|3|Yes|http://thesoccerworldcups.com/world_cups/1982_group_b.php
2.|Austria|4|3|2|0|1|3|1|2|Yes|http://thesoccerworldcups.com/world_cups/1982_group_b.php
3.|Algeria|4|3|2|0|1|5|5|0|No|http://thesoccerworldcups.com/world_cups/1982_group_b.php
4.|Chile|0|3|0|0|3|3|8|-5|No|http://thesoccerworldcups.com/world_cups/1982_group_b.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1930_group_1.php
1.|Argentina|6|3|3|0|0|10|4|6|Yes|http://thesoccerworldcups.com/world_cups/1930_group_1.php
2.|Chile|4|3|2|0|1|5|3|2|No|http://thesoccerworldcups.com/world_cups/1930_group_1.php
3.|France|2|3|1|0|2|4|3|1|No|http://thesoccerworldcups.com/world_cups/1930_group_1.php
4.|Mexico|0|3|0|0|3|4|13|-9|No|http://thesoccerworldcups.com/world_cups/1930_group_1.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/2010_group_c.php
1.|USA|5|3|1|2|0|4|3|1|Yes|http://thesoccerworldcups.com/world_cups/2010_group_c.php
2.|England|5|3|1|2|0|2|1|1|Yes|http://thesoccerworldcups.com/world_cups/2010_group_c.php
3.|Slovenia|4|3|1|1|1|3|3|0|No|http://thesoccerworldcups.com/world_cups/2010_group_c.php
4.|Algeria|1|3|0|1|2|0|2|-2|No|http://thesoccerworldcups.com/world_cups/2010_group_c.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1982_group_3.php
1.|Italy|4|2|2|0|0|5|3|2|Yes|http://thesoccerworldcups.com/world_cups/1982_group_3.php
2.|Brazil|2|2|1|0|1|5|4|1|No|http://thesoccerworldcups.com/world_cups/1982_group_3.php
3.|Argentina|0|2|0|0|2|2|5|-3|No|http://thesoccerworldcups.com/world_cups/1982_group_3.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1982_group_1.php
1.|Poland|3|2|1|1|0|3|0|3|Yes|http://thesoccerworldcups.com/world_cups/1982_group_1.php
2.|Soviet Union|3|2|1|1|0|1|0|1|No|http://thesoccerworldcups.com/world_cups/1982_group_1.php
3.|Belgium|0|2|0|0|2|0|4|-4|No|http://thesoccerworldcups.com/world_cups/1982_group_1.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/2006_group_b.php
1.|England|7|3|2|1|0|5|2|3|Yes|http://thesoccerworldcups.com/world_cups/2006_group_b.php
2.|Sweden|5|3|1|2|0|3|2|1|Yes|http://thesoccerworldcups.com/world_cups/2006_group_b.php
3.|Paraguay|3|3|1|0|2|2|2|0|No|http://thesoccerworldcups.com/world_cups/2006_group_b.php
4.|Trinidad and Tobago|1|3|0|1|2|0|4|-4|No|http://thesoccerworldcups.com/world_cups/2006_group_b.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1994_group_d.php
1.|Nigeria|6|3|2|0|1|6|2|4|Yes|http://thesoccerworldcups.com/world_cups/1994_group_d.php
2.|Bulgaria|6|3|2|0|1|6|3|3|Yes|http://thesoccerworldcups.com/world_cups/1994_group_d.php
3.|Argentina|6|3|2|0|1|6|3|3|Yes|http://thesoccerworldcups.com/world_cups/1994_group_d.php
4.|Greece|0|3|0|0|3|0|10|-10|No|http://thesoccerworldcups.com/world_cups/1994_group_d.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1990_group_a.php
1.|Italy|6|3|3|0|0|4|0|4|Yes|http://thesoccerworldcups.com/world_cups/1990_group_a.php
2.|Czechoslovakia|4|3|2|0|1|6|3|3|Yes|http://thesoccerworldcups.com/world_cups/1990_group_a.php
3.|Austria|2|3|1|0|2|2|3|-1|No|http://thesoccerworldcups.com/world_cups/1990_group_a.php
4.|USA|0|3|0|0|3|2|8|-6|No|http://thesoccerworldcups.com/world_cups/1990_group_a.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1958_group_2.php
1.|France|4|3|2|0|1|11|7|4|Yes|http://thesoccerworldcups.com/world_cups/1958_group_2.php
2.|Yugoslavia|4|3|1|2|0|7|6|1|Yes|http://thesoccerworldcups.com/world_cups/1958_group_2.php
3.|Paraguay|3|3|1|1|1|9|12|-3|No|http://thesoccerworldcups.com/world_cups/1958_group_2.php
4.|Scotland|1|3|0|1|2|4|6|-2|No|http://thesoccerworldcups.com/world_cups/1958_group_2.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1970_group_3.php
1.|Brazil|6|3|3|0|0|8|3|5|Yes|http://thesoccerworldcups.com/world_cups/1970_group_3.php
2.|England|4|3|2|0|1|2|1|1|Yes|http://thesoccerworldcups.com/world_cups/1970_group_3.php
3.|Romania|2|3|1|0|2|4|5|-1|No|http://thesoccerworldcups.com/world_cups/1970_group_3.php
4.|Czechoslovakia|0|3|0|0|3|2|7|-5|No|http://thesoccerworldcups.com/world_cups/1970_group_3.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1978_group_3.php
1.|Austria|4|3|2|0|1|3|2|1|Yes|http://thesoccerworldcups.com/world_cups/1978_group_3.php
2.|Brazil|4|3|1|2|0|2|1|1|Yes|http://thesoccerworldcups.com/world_cups/1978_group_3.php
3.|Spain|3|3|1|1|1|2|2|0|No|http://thesoccerworldcups.com/world_cups/1978_group_3.php
4.|Sweden|1|3|0|1|2|1|3|-2|No|http://thesoccerworldcups.com/world_cups/1978_group_3.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1970_group_2.php
1.|Italy|4|3|1|2|0|1|0|1|Yes|http://thesoccerworldcups.com/world_cups/1970_group_2.php
2.|Uruguay|3|3|1|1|1|2|1|1|Yes|http://thesoccerworldcups.com/world_cups/1970_group_2.php
3.|Sweden|3|3|1|1|1|2|2|0|No|http://thesoccerworldcups.com/world_cups/1970_group_2.php
4.|Israel|2|3|0|2|1|1|3|-2|No|http://thesoccerworldcups.com/world_cups/1970_group_2.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1958_group_3.php
1.|Sweden|5|3|2|1|0|5|1|4|Yes|http://thesoccerworldcups.com/world_cups/1958_group_3.php
2.|Wales|3|3|0|3|0|2|2|0|Yes|http://thesoccerworldcups.com/world_cups/1958_group_3.php
3.|Hungary|3|3|1|1|1|6|3|3|No|http://thesoccerworldcups.com/world_cups/1958_group_3.php
4.|Mexico|1|3|0|1|2|1|8|-7|No|http://thesoccerworldcups.com/world_cups/1958_group_3.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/2006_group_c.php
1.|Argentina|7|3|2|1|0|8|1|7|Yes|http://thesoccerworldcups.com/world_cups/2006_group_c.php
2.|Holland|7|3|2|1|0|3|1|2|Yes|http://thesoccerworldcups.com/world_cups/2006_group_c.php
3.|Ivory Coast|3|3|1|0|2|5|6|-1|No|http://thesoccerworldcups.com/world_cups/2006_group_c.php
4.|Serbia and Montenegro|0|3|0|0|3|2|10|-8|No|http://thesoccerworldcups.com/world_cups/2006_group_c.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/2006_group_a.php
1.|Germany|9|3|3|0|0|8|2|6|Yes|http://thesoccerworldcups.com/world_cups/2006_group_a.php
2.|Ecuador|6|3|2|0|1|5|3|2|Yes|http://thesoccerworldcups.com/world_cups/2006_group_a.php
3.|Poland|3|3|1|0|2|2|4|-2|No|http://thesoccerworldcups.com/world_cups/2006_group_a.php
4.|Costa Rica|0|3|0|0|3|3|9|-6|No|http://thesoccerworldcups.com/world_cups/2006_group_a.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1986_group_c.php
1.|Soviet Union|5|3|2|1|0|9|1|8|Yes|http://thesoccerworldcups.com/world_cups/1986_group_c.php
2.|France|5|3|2|1|0|5|1|4|Yes|http://thesoccerworldcups.com/world_cups/1986_group_c.php
3.|Hungary|2|3|1|0|2|2|9|-7|No|http://thesoccerworldcups.com/world_cups/1986_group_c.php
4.|Canada|0|3|0|0|3|0|5|-5|No|http://thesoccerworldcups.com/world_cups/1986_group_c.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1974_group_1.php
1.|East Germany|5|3|2|1|0|4|1|3|Yes|http://thesoccerworldcups.com/world_cups/1974_group_1.php
2.|West Germany|4|3|2|0|1|4|1|3|Yes|http://thesoccerworldcups.com/world_cups/1974_group_1.php
3.|Chile|2|3|0|2|1|1|2|-1|No|http://thesoccerworldcups.com/world_cups/1974_group_1.php
4.|Australia|1|3|0|1|2|0|5|-5|No|http://thesoccerworldcups.com/world_cups/1974_group_1.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1962_group_3.php
1.|Brazil|5|3|2|1|0|4|1|3|Yes|http://thesoccerworldcups.com/world_cups/1962_group_3.php
2.|Czechoslovakia|3|3|1|1|1|2|3|-1|Yes|http://thesoccerworldcups.com/world_cups/1962_group_3.php
3.|Mexico|2|3|1|0|2|3|4|-1|No|http://thesoccerworldcups.com/world_cups/1962_group_3.php
4.|Spain|2|3|1|0|2|2|3|-1|No|http://thesoccerworldcups.com/world_cups/1962_group_3.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1990_group_c.php
1.|Brazil|6|3|3|0|0|4|1|3|Yes|http://thesoccerworldcups.com/world_cups/1990_group_c.php
2.|Costa Rica|4|3|2|0|1|3|2|1|Yes|http://thesoccerworldcups.com/world_cups/1990_group_c.php
3.|Scotland|2|3|1|0|2|2|3|-1|No|http://thesoccerworldcups.com/world_cups/1990_group_c.php
4.|Sweden|0|3|0|0|3|3|6|-3|No|http://thesoccerworldcups.com/world_cups/1990_group_c.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1990_group_b.php
1.|Cameroon|4|3|2|0|1|3|5|-2|Yes|http://thesoccerworldcups.com/world_cups/1990_group_b.php
2.|Romania|3|3|1|1|1|4|3|1|Yes|http://thesoccerworldcups.com/world_cups/1990_group_b.php
3.|Argentina|3|3|1|1|1|3|2|1|Yes|http://thesoccerworldcups.com/world_cups/1990_group_b.php
4.|Soviet Union|2|3|1|0|2|4|4|0|No|http://thesoccerworldcups.com/world_cups/1990_group_b.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1990_group_f.php
1.|England|4|3|1|2|0|2|1|1|Yes|http://thesoccerworldcups.com/world_cups/1990_group_f.php
2.|Ireland|3|3|0|3|0|2|2|0|Yes|http://thesoccerworldcups.com/world_cups/1990_group_f.php
3.|Holland|3|3|0|3|0|2|2|0|Yes|http://thesoccerworldcups.com/world_cups/1990_group_f.php
4.|Egypt|2|3|0|2|1|1|2|-1|No|http://thesoccerworldcups.com/world_cups/1990_group_f.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1982_group_d.php
1.|England|6|3|3|0|0|6|1|5|Yes|http://thesoccerworldcups.com/world_cups/1982_group_d.php
2.|France|3|3|1|1|1|6|5|1|Yes|http://thesoccerworldcups.com/world_cups/1982_group_d.php
3.|Czechoslovakia|2|3|0|2|1|2|4|-2|No|http://thesoccerworldcups.com/world_cups/1982_group_d.php
4.|Kuwait|1|3|0|1|2|2|6|-4|No|http://thesoccerworldcups.com/world_cups/1982_group_d.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1978_group_b.php
1.|Argentina|5|3|2|1|0|8|0|8|Yes|http://thesoccerworldcups.com/world_cups/1978_group_b.php
2.|Brazil|5|3|2|1|0|6|1|5|Yes|http://thesoccerworldcups.com/world_cups/1978_group_b.php
3.|Poland|2|3|1|0|2|2|5|-3|No|http://thesoccerworldcups.com/world_cups/1978_group_b.php
4.|Peru|0|3|0|0|3|0|10|-10|No|http://thesoccerworldcups.com/world_cups/1978_group_b.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1978_group_4.php
1.|Peru|5|3|2|1|0|7|2|5|Yes|http://thesoccerworldcups.com/world_cups/1978_group_4.php
2.|Holland|3|3|1|1|1|5|3|2|Yes|http://thesoccerworldcups.com/world_cups/1978_group_4.php
3.|Scotland|3|3|1|1|1|5|6|-1|No|http://thesoccerworldcups.com/world_cups/1978_group_4.php
4.|Iran|1|3|0|1|2|2|8|-6|No|http://thesoccerworldcups.com/world_cups/1978_group_4.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/2002_group_e.php
1.|Germany|7|3|2|1|0|11|1|10|Yes|http://thesoccerworldcups.com/world_cups/2002_group_e.php
2.|Ireland|5|3|1|2|0|5|2|3|Yes|http://thesoccerworldcups.com/world_cups/2002_group_e.php
3.|Cameroon|4|3|1|1|1|2|3|-1|No|http://thesoccerworldcups.com/world_cups/2002_group_e.php
4.|Saudi Arabia|0|3|0|0|3|0|12|-12|No|http://thesoccerworldcups.com/world_cups/2002_group_e.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/2006_group_g.php
1.|Switzerland|7|3|2|1|0|4|0|4|Yes|http://thesoccerworldcups.com/world_cups/2006_group_g.php
2.|France|5|3|1|2|0|3|1|2|Yes|http://thesoccerworldcups.com/world_cups/2006_group_g.php
3.|South Korea|4|3|1|1|1|3|4|-1|No|http://thesoccerworldcups.com/world_cups/2006_group_g.php
